NAME	delta	alpha	gamma	ductal	acinar	beta	PSC	endothelial	mast
ACOX1	237.299827647335	1	13.6722168627836	1	338.661961595606	276.323938093455	1	1	1
ACP1	1	23.5336202962478	244.190490102949	62.1722431911048	2.10449169536043	1	67.6233577713485	1	1
ACP2	1	6.57389745601257	1	1	186.199731886558	47.5801641390608	1	1	1
ACSL1	14.6044003680757	1	12.2840867359573	1	237.694542114985	128.535110777059	11.8563221762774	1	1
ACSL3	1	24.1691199625152	236.542913764803	1	1	12.439529572962	2.74213766962519	1	1
ACTN1	24.5659039198256	1	1045.56548207877	36.8095495483691	835.772060782776	357.176504093841	782.329509910053	1	1
ACTN4	1	1	6.0719303069563	360.392028535947	32.0753566219517	1	23.5336202962478	1	229.312227384313
ACTR10	425.595075515867	42.6451165526525	23.0960598756139	1	1	746.599483633335	13.6722168627836	1	1
ACTR2	3.90197267825466	1	6.68521432155558	81.6247355140697	1.72228426633574	1	44.8206494897175	1	403.391585702004
ACTR3	256.322945462552	1	41.9473216256062	27.7565024923592	44.6886461427675	1	40.3235093574183	1	1
ACVR2A	286.603182301497	1	1	1	31.1783750884905	1	1	1	1
ACVRL1	1	1	1	1	1	1	37.1862146761693	682.120336456513	1
ADAM10	2.1217325972441	259.727091744822	23.5928939533336	1	1	1	1	977.41789678852	1
ADAM9	1	10.7371474681442	253.204422423312	1	1	65.8752198613896	25.6125070052356	1	1
ADAMTS2	1	1	1	1	1	493.652048830657	1076.68281634411	1	1
ADAR	2.07956092476531	1	182.935155866424	1	1	1	353.896217076374	1	1
ADCK3	1	1	1	1	669.695052838142	1	1	313.528900412485	1
ADCK4	1.96075891712899	1	1	81.6247355140697	1	280.863080313413	1	1	1
ADD3	35.5489849572955	1	1	1	155.613970637846	1	1	1	1
ADIPOR1	225.852438445892	133.253348382861	117.476602169227	1	1	1131.4080391676	1	1	1
ADK	470.474118512896	160.948706894584	1	1	1	1	24.2198999528456	1	1
ADO	23.7661056389817	1	1	1	41.7621119869275	1	141.77704757039	1	1
ADPGK	1	176.720119752772	288.258723994123	1	1.77872219599391	302.345734686464	1	1	830.686646883444
ADRBK2	24.5659039198256	861.324371862495	1	1	1	1	1	1	1
ADRM1	202.847148096728	1	1	1	4.09386678904913	70.5374283235479	27.6232051926485	1	642.402633042255
AEBP2	15.0325456822097	1	16.0892455777331	1	44.5474522989666	1	1	1	665.132444372511
AEN	1	3.98971630068269	13.3793061056723	27.7565024923592	1	471.811148509026	1	1	1
AFMID	1	1	1	1	198.629443660345	1	272.627746246554	1	1
AGAP1	2.05350967128047	36.9880027186466	1	157.892986832175	1	16.3742588306442	1	1	1
AGK	335.830901952488	1	1	1	1.75596756647534	1	1	1	1
AGL	1.29412880243573	72.7622496185471	1	1	1	1	1	1	1
AGO1	32.3786523419705	1	1	1	84.8525426225429	1	1	1	1
AGPAT2	45.6995536313217	6.87811326886608	2096.30844959902	44.8206494897175	712.115529206694	1	42.3800855077632	1	1
AGPAT3	1	1	1	170.971852939914	1.92839501179648	42.3344829767007	6.42199946682282	1	1
AGRN	1.77872219599391	9.78485483679192	15.1086827334324	356.27686825849	1	1	1	221.323415798525	1
AGT	1	1	1	170.971852939914	1	1	36.0224445533026	1	1
AGTPBP1	1	1	1	1	1	196.113738716261	495.118465619642	1	249.290059992993
AHCY	1	272.44855916861	1	1	146.468544807102	1	1	1	1
AHCYL1	42.6451165526525	321.225386050286	1	1	727.652945072991	1	611.195193676196	1	1
AHNAK	1	1	1	157.892986832175	1	1	1	1	652.247222780563
AHSA1	27.7565024923592	84.7917966193122	1	1	1	758.52265702567	1	1	1
AIMP1	1	1	409.208318022195	1	2.75625544539085	1	23.0184134905427	1	1
AIP	37.1862146761693	1	620.925090022565	1	1.98259487912124	28.8283668097774	1	1	1
AK1	1	1	586.283748521484	1	7.08342262315415	389.064608540161	526.635907944977	1	1
AK2	1	128.491879303173	1	492.224762177637	30.2334060325089	16.0424282463702	1	204.76435398502	1
AK3	6.42199946682282	1	1	1	1	1	45.5602561312417	1	240.640992099735
AKAP1	1	256.322945462552	1	393.54886365992	2.11657080860349	1	1	1	1
AKAP10	1	1	1	1	1	340.359067304236	67.8368345406018	1	1
AKAP12	42.6451165526525	1	244.190490102949	1	1	1	1411.68057289981	1	1
AKAP13	1.92839501179648	1	70.4047697693823	592.959586600084	1.74652821587246	1	190.300347294304	1	1
AKAP8L	1	1	45.5602561312417	1	1	1	2.82073783058041	1	1
AKIP1	1	1	79.8577275241666	1	1	1	3.97263006583609	1	1
AKIRIN1	1	14.6044003680757	6.0719303069563	1	1	1	1	1	558.12771646505
AKIRIN2	1	1	1	1	2.06668270487119	12.2073196473068	123.660982085853	1	1
AKR1B1	1	1	342.298946699618	70.5104354015836	1	1	790.683392810446	491.638235094818	1
AKR1C3	1	1	1	1	1015.40171688962	23.1280120171048	1	1	1
AKR7A2	13.8123399406578	414.582540927985	1	1	2.04002551295843	1	5.41017599187318	1	1
AKR7A3	1	1	12.2840867359573	1	368.405036550118	1	1	1	1
AKT1	1	1	212.103278049274	1	1	1	192.834832956593	1	1
AKT2	30.8522636982101	1	1	1	1	1	1	67.6233577713485	1
ALAS1	32.0753566219517	1	1477.13721827258	1	118.576290375744	1	1	1	1065.03152719521
ALB	1	1	1	27.7565024923592	2659.59745394362	1	1	1	1
ALDH18A1	1	337.323911933146	1	1	2.06668270487119	1	1	1	1
ALDH1L2	1	65.8752198613896	1	1	302.947745370009	1	1	1	1
ALDH2	301.804198345891	1	620.925090022565	1	165.520447550468	1	1	547.609612480175	936.342902023951
ALDH3A2	1	1	82.7216527704153	1	258.769183540083	22.9165356892644	1	1	1
ALDH6A1	2.02621242813493	1	1	1	47.2162884366894	81.5166874795063	1	1	1
ALG1	22.9654157332304	1	1	1	9.78485483679192	1	1	306.340359637496	1
ALG13	7.26888202505288	1	283.119247526842	62.1722431911048	1	1	1	1	1
ALG5	26.380842792666	1	1	1	519.739017886653	47.1973350041364	1	1	1
ALG9	1	1	1	36.8095495483691	37.1862146761693	337.546233794366	1	528.7885634478	1
ALS2	1	1	22.5966196061289	1	1	1	117.96654838409	1	1
AMER3	232.615643507709	1	1	1	1	41.257378502098	1	1	1
AMN1	12.439529572962	1	1	1	2.75625544539085	179.667125758612	1	1	1
AMOTL1	1.25791120468292	1	182.935155866424	44.8206494897175	14.5393263886115	1	1	1	1
AMZ2	1	45.5602561312417	1	1	254.509042541783	88.7228793776784	330.889519296066	1	1
ANAPC2	1	1	6.0719303069563	1	1	1	1	70.4647992903546	1
ANAPC4	1	1	1	246.246619503805	1	35.8619419309138	1	1	1
ANGEL1	1	145.530770255827	7.31339372263386	1	24.8675979694282	1	1	1	1
ANGPTL2	1	1	1	1	1	1	202.017404748052	508.351303119493	1
ANK3	1	1	1	1	7.31339372263386	82.7216527704153	1	1	1
ANKIB1	1	1	1	1	27.5044468872743	357.176504093841	5.69004314536108	306.340359637496	1
ANKRD11	1	15.7920358074726	1	81.6247355140697	1.6696433958302	1	462.456073277694	1	254.190984315348
ANKRD17	1	1	1	1	311.559847691929	378.757176324943	3.84638052871252	1	1
ANKRD27	1	1	1	1	16.2293827209802	302.345734686464	1	1	1
ANKRD39	23.3559052324408	1	1	1	1	1	1	403.0504219469	1
ANKRD40	145.570876656553	117.395125402059	1	825.56101626898	3.0022539234545	74.2535009949923	14.5393263886115	1	1
ANKRD49	1	1	1	1536.27167625203	30.2334060325089	1	1	1	1
ANKRD65	47.2352494805324	1	129.208833734217	1	1	67.6493850350135	1	1	1
ANKS3	1.85699271291315	1	1	1	42.0294051844831	1	1	1	1
ANKZF1	25.2018101086914	1	1	1	1	223.373813698425	1	1	1
ANO10	117.295593187143	1	1	1	1	154.849225174533	1	1	1
ANO6	72.6489541865783	1	1	1	12.3143920772118	1	1	1	1
